Rank,Name,Type,Tags
105,Mo Dao Zu Shi Q,Web,comedy ancientchina chibi chineseanimation episodic historical shortepisodes moxiangtongxiu
106,Natsume's Book of Friends Season 2,TV,drama shoujo sliceoflife bodyguards cats countryside episodic iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
107,Made in Abyss Movie: Dawn of the Deep Soul,Movie,adventure fantasy horror mystery scifi seinen curse darkfantasy humanexperimentation non-humanprotagonists orphans outsideworld robots basedonamanga explicitviolence  nudity akihitotsukushi
108,Fruits Basket 1st Season,TV,comedy drama fantasy romance shoujo animaltransformation contemporaryfantasy curse deathofalovedone dysfunctionalfamilies lovetriangle orphans slapstick basedonamanga bullying  emotionalabuse  maturethemes  physicalabuse natsukitakaya
109,Kizumonogatari Part 3: Reiketsu,Movie,action drama ecchi psychological supernatural vampires basedonalightnovel explicitviolence  nudity nisioisin
110,Dr. Stone: Stone Wars,TV,adventure comedy scifi shounen personinastrangeworld post-apocalyptic prehistoric survival basedonamanga boichi
111,My Hero Academia 4,TV,action drama scifi shounen superheroes superpowers basedonamanga emotionalabuse  maturethemes  physicalabuse  violence kouheihorikoshi
113,Great Teacher Onizuka,TV,comedy drama shounen delinquents schoollife slapstick teaching worklife basedonamanga bullying  emotionalabuse toorufujisawa
114,Your lie in April,TV,drama romance shounen classicalmusic illness melancholy mentalillness music noitamina psychological schoollife tournaments unrequitedlove basedonamanga maturethemes  physicalabuse  domesticabuse naoshiarakawa
115,Bungo Stray Dogs 3rd Season,TV,action mystery seinen supernatural superpowers basedonamanga maturethemes  suicide  violence kafkaasagiri
116,Kamisama Kiss 2nd Season,TV,comedy fantasy romance shoujo animalcharacteristics interspeciesrelationship japanesemythology master-servantrelationship non-humanprotagonists basedonamanga juliettasuzuki
117,Violet Evergarden: Eternity and the Auto Memory Doll,Movie,drama melancholy basedonalightnovel
118,Mob Psycho 100,TV,action comedy exorcists overpoweredmaincharacters psychicpowers psychological schoollife supernatural superpowers basedonamanga violence one
119,Natsume's Book of Friends Season 6 Specials,DVD S,drama fantasy shoujo bodyguards cats countryside episodic iyashikei japanesemythology orphans supernatural youkai basedonamanga yukimidorikawa
120,Kuroko's Basketball 2,TV,shounen sports basketball schoolclub tournaments basedonamanga tadatoshifujimaki
